Timestamp,familiarity,response,reason,confidence,Problems,Search Term,Total Search Time in s,Actions,numberOfClicks,ClickedFeatured,timeSpentOnFeatured,clickedFirst,timeSpentOnFirst,clickedSecond,timeSpentOnSecond,clickedThird,timeSpentOnThird,clickedFourth,timeSpentOnFourth,clickedFifth,timeSpentOnFifth,clickedSixth,timeSpentOnSixth,started_datetime,completed_date_time,time_taken,age,Sex
2022/06/15 6:19:15 pm EET,1,No,You need to be 18 years old to drive in Switzerland.,4,Everything worked fine.,switzerland driving license usa 17 years old,7.880172,[''],0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-06-15 16:16:16,2022-06-15 16:19:27,190.753,25,Male
2022/06/15 6:19:51 pm EET,1,No,Because of the age. They should be over 18.,4,Everything worked fine,switzerland driveing law,111.329128,"['1:2.349232999999998', 'Focus:86.137585', '3:92.518811', 'Focus:108.413399']",2,FALSE,0,TRUE,83.788352,FALSE,0,TRUE,15.894588,FALSE,0,FALSE,0,FALSE,0,2022-06-15 16:15:52,2022-06-15 16:20:18,265.658,22,Female
2022/06/15 6:20:05 pm EET,1,No,Because the minimum age in Switzerland to have a driver license is 18,5,no,Is my 17-year-old relative from the USA allowed to drive a car in Switzerland?,9.947401,[''],0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-06-15 16:16:11,2022-06-15 16:20:17,245.923,31,Male
2022/06/15 6:20:15 pm EET,1,No,Because it was written that anyone older than 18 holding a driving license can drive in Switzerland with an international driving license.,5,No,usa driving license 17 Switzerland drive,56.236679,"['1:8.181490000000004', 'Focus:26.760638000000007', '3:33.758366', 'Focus:52.320686']",2,FALSE,0,TRUE,18.579148,FALSE,0,TRUE,18.56232,FALSE,0,FALSE,0,FALSE,0,2022-06-15 16:15:29,2022-06-15 16:20:24,295.613,29,Female
2022/06/15 6:21:10 pm EET,2,No,"Any adult who’s at least 18 years old and holding a valid national driver’s license can drive in Switzerland, as long as the permitted vehicle categories are listed in the Roman alphabet on the foreign license.",4,No,driving licens 17 years old in switzerland,147.885066,"['1:3.6307900000000046', 'Focus:3.6474449999999976', '2:29.080056', 'Focus:85.876487', '4:88.80776699999998', 'Focus:88.82442200000003', '6:117.33861999999999', 'Focus:143.971141']",4,FALSE,0,TRUE,0.016655,TRUE,56.796431,FALSE,0,TRUE,0.016655,FALSE,0,TRUE,26.632521,2022-06-15 16:15:57,2022-06-15 16:21:46,349.61,,Female
2022/06/15 6:22:37 pm EET,2,Yes,"After researching I concluded that you can drive in Switzerland if you have a drivers licence. The only condition I found was: ""you need an international licence to drive in Switzerland only if your driving licence does not mention the authorised vehicle categories in Latin characters."" Which is not aplicable to the 17-year-old.",4,"No, everything worked well.",who can drive in switzerland,155.437196,"['1:2.299377', 'Focus:57.149612', '2:63.814707000000006', 'Focus:85.60780399999999', '2:87.67386099999999', 'Focus:119.031264', '6:127.645543', 'Focus:146.039901']",4,FALSE,0,TRUE,54.850235,TRUE,53.1505,FALSE,0,FALSE,0,FALSE,0,TRUE,18.394358,2022-06-15 16:15:28,2022-06-15 16:22:48,440.003,20,Female
2022/06/15 6:23:12 pm EET,1,No,"It seems that he is below the legal driving age in Switzerland, but I struggled to find more direct information on this. If he had been 18, I would have said he is allowed to drive a car in Switzerland, with a USA license, even without an international permit. ",3,No,what is the legal driving age in switzerland,111.695914,"['3:8.41655099999997', 'Focus:51.739664999999974', '1:57.928740000000005', 'Focus:109.20183700000001']",2,FALSE,0,TRUE,51.273097,FALSE,0,TRUE,43.323114,FALSE,0,FALSE,0,FALSE,0,2022-06-15 16:16:00,2022-06-15 16:23:24,443.87,23,Male
2022/06/15 6:23:22 pm EET,1,Yes,"I've read that Switzerland has agreement with USA, so that driving licence from USA is vaild in Switzerland as long as you have a prove of passing your exams with you.",4,"No, everything was clear and working properly",can 17yo drive in Switzerland,129.964253,"['1:2.683722999999997', 'Focus:35.670613', '4:52.289159', 'Focus:53.10571900000001', '1:54.289304', 'Focus:127.063864']",3,FALSE,0,TRUE,105.76145,FALSE,0,FALSE,0,TRUE,0.81656,FALSE,0,FALSE,0,2022-06-15 16:18:04,2022-06-15 16:23:31,327.118,22,Male
2022/07/04 2:23:27 pm EET,1,No,In Switzerland drive license is from 18 yr,2,,,,,,,,,,,,,,,,,,,,2022-07-04 12:21:48,2022-07-04 12:23:32,104.442,22,Male
2022/07/04 2:24:25 pm EET,1,Yes,They must have either a national or international driver's license,4,,can a 17 year old drive in switzerland,30.150312,"['1:2.4833550000000013', 'Focus:28.233612000000004']",1,FALSE,0,TRUE,25.750257,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-04 12:22:34,2022-07-04 12:24:32,118.025,22,Male
