Timestamp,familiarity,response,reason,confidence,Problems,Search Term,Total Search Time in s,Actions,numberOfClicks,ClickedFeatured,timeSpentOnFeatured,clickedFirst,timeSpentOnFirst,clickedSecond,timeSpentOnSecond,clickedThird,timeSpentOnThird,clickedFourth,timeSpentOnFourth,clickedFifth,timeSpentOnFifth,clickedSixth,timeSpentOnSixth,started_datetime,completed_date_time,time_taken,age,Sex
2022/06/21 11:15:18 am EET,1,No,Minimum age is 18,5,No,minimum age driver's licence switzerland,30.799753,[''],0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-06-21T09:12:47.274000Z,2022-06-21T09:15:30.476000Z,164,49,Female
2022/06/21 11:16:20 am EET,2,No,Drivers must be at least 18 years old in Switzerland to operate motorbikes and cars,5,"no, it was easy and quick",switzerland legal age of driving,43.169296,[''],0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-06-21T09:12:57.951000Z,2022-06-21T09:16:29.947000Z,212,39,Male
2022/06/21 11:16:24 am EET,1,Yes,yes because you have 6 months autorization to drive with a foreign license,5,no.,can I drive in switzerland with 17?,15.889746,[''],0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-06-21T09:12:41.339000Z,2022-06-21T09:16:36.057000Z,235,30,Male
2022/06/21 11:16:26 am EET,1,Yes,Its allowed drive with his american license for 12 months on the country. But you also need a international license,3,no,,,,,,,,,,,,,,,,,,,2022-06-21T09:12:44.146000Z,2022-06-21T09:16:34.790000Z,231,29,Male
2022/06/21 11:16:38 am EET,2,Yes,Drivers license from any country is valid for use in Switzerland,5,No,,,,,,,,,,,,,,,,,,,2022-06-21T09:13:35.377000Z,2022-06-21T09:17:16.330000Z,221,22,Female
2022/06/21 11:17:02 am EET,1,Yes,if his licence is in english he is allowed to drive,4,"no, everything went smooth ",can a 17 year old drive a car in Switzerland?,26.838267,[''],0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-06-21T09:13:16.685000Z,2022-06-21T09:17:14.856000Z,239,24,Female
2022/06/21 11:20:30 am EET,1,No,No. Because he is not over 18.,5,no,americans driving in switzerland,65.050754,"['1:5.400214000000005', 'Focus:61.10076499999997']",1,FALSE,0,TRUE,55.700551,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-06-21T09:13:14.469000Z,2022-06-21T09:20:42.466000Z,448,27,Female
2022/06/21 11:21:49 am EET,1,No,Because IDP is required. To get IDP you need to be at least 18 years old.,4,"No
",,,,,,,,,,,,,,,,,,,2022-06-21T09:12:39.981000Z,2022-06-21T09:21:57.531000Z,558,19,Male
2022/07/05 2:57:26 pm EET,1,Yes,Foreign driver's licenses are valid for 12 months,5,,can usa citizen drive in switzerland,15.870375,[''],0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:55:54,2022-07-05 12:57:34,100.08,33,Male
2022/07/05 2:58:34 pm EET,3,No,only a person who is 18 and above is allowed to drive,4,,,,,,,,,,,,,,,,,,,,2022-07-05 12:56:03,2022-07-05 12:58:52,168.827,23,CONSENT REVOKED
2022/07/05 2:58:36 pm EET,1,Yes,he has valid licence,4,,,,,,,,,,,,,,,,,,,,2022-07-05 12:56:34,2022-07-05 12:58:45,131.665,23,Male
2022/07/05 2:59:14 pm EET,1,No,"Although foreign licenses are valid to drive for 12 months, you need to be at least 18 years old for it to be possible.",4,,can a 17 years old american drive in switzerland,58.449967,"['0:24.049991', 'Focus:56.266308']",1,TRUE,32.216317,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:56:06,2022-07-05 12:59:25,199.786,19,Male
2022/07/05 2:59:39 pm EET,1,Yes,"You can as long is before 12 months, after that you need an international driving licence.",5,,driving rules for foreigns switzerland,26.2598,[''],0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:57:01,2022-07-05 12:59:53,171.78,27,Female
2022/07/05 3:00:01 pm EET,1,Yes,She can drive in Switzerland with a US driver's license for 12 months,5,,,,,,,,,,,,,,,,,,,,2022-07-05 12:56:53,2022-07-05 13:00:09,196.29,19,Female
2022/07/05 3:00:09 pm EET,4,Yes,Yes because he/she holds a foreign licence.,3,,17 years old drive in switzerland,38.439553,"['1:17.694854999999997', 'Focus:36.07351']",1,FALSE,0,TRUE,18.378655,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:57:29,2022-07-05 13:00:19,170.18,33,Male
2022/07/05 3:00:20 pm EET,1,No,"First he would need to get an Internation Driver's license, but because he has been driving for less than 3 years he won't be able to do so",3,,switzerland how old can you drive,46.124217,"['5:20.055377', 'Focus:42.22656400000001']",1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,22.171187,FALSE,0,2022-07-05 12:56:43,2022-07-05 13:00:34,230.867,22,Female
2022/07/05 3:00:21 pm EET,2,Yes,"Anyone with a German / English / Italian / French LANGUAGE driving license can drive for up to 12 months in switzerland. If not in those specific language, they´d have to use an International Driver´s Permit. 

What I´m unsure of is that the International Driver´s Permit works only for people over 18yo. so I put 4 in my confidence in the answer. It is a murky subject. ",4,,Can a 17 drive in switzerland with us driving license,6.88222,[''],0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:56:07,2022-07-05 13:00:32,265.408,27,Male
2022/07/05 3:00:30 pm EET,1,No,The minimum age for driving in Switzerland is 18 for cars and two-wheel vehicles of 50cc or more.,5,,switzerland driving age,75.819293,"['0:15.524548999999999', 'Focus:15.524548999999999']",1,TRUE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:56:53,2022-07-05 13:00:42,229.319,33,Female
2022/07/05 3:00:39 pm EET,2,No,"no, minimum age is 18",5,,,,,,,,,,,,,,,,,,,,2022-07-05 12:58:13,2022-07-05 13:00:47,153.46,26,Male
2022/07/05 3:00:43 pm EET,1,No,I dont know at all,1,,xd,22.875082,[''],0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:59:02,,609406.9067,21,CONSENT REVOKED
2022/07/05 3:01:09 pm EET,3,No,because the person has to be at least 18 to drive in Switzerland,4,,Is a 17 from the USA allowed to drive a car in Switzerland?,34.800601,[''],0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:58:11,2022-07-05 13:01:21,190.633,21,Male
2022/07/05 3:01:19 pm EET,1,No,you need an international driving licence and to obtain that the minimum age is 18,4,,switzerland can you drive with US licence 17 year old,182.233161,"['6:27.624469999999995', 'Focus:62.95039900000001', '1:79.371874', 'Focus:138.470863', '3:144.05613', 'Focus:175.78101800000002']",3,FALSE,0,TRUE,59.098989,FALSE,0,TRUE,31.724888,FALSE,0,FALSE,0,TRUE,35.325929,2022-07-05 12:56:09,2022-07-05 13:01:36,327.176,37,Female
2022/07/05 3:01:23 pm EET,1,No,"Though the license would be valid, the driving age is 18+",4,,american licence in switzerland,13.46062,"['0:3.1772799999999997', 'Focus:7.170580000000001', '1:9.36062', 'Focus:11.12592']",2,TRUE,3.9933,TRUE,1.7653,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:57:27,2022-07-05 13:01:32,245.402,33,Male
2022/07/05 3:01:26 pm EET,2,Yes,"Yes, you can drive for 12months using your foreign license.",5,,Switzerland driving age,17.439,[''],0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:57:52,2022-07-05 13:01:52,240.307,26,Male
2022/07/05 3:01:28 pm EET,2,No,"beacuse even if he has a foreign driving license, he must be at least 18 years old",4,,years old to drive in Switzerland,45.03464,"['0:22.979519999999994', 'Focus:41.35877999999999']",1,TRUE,18.37926,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:58:51,2022-07-05 13:01:33,161.96,29,Male
2022/07/05 3:01:28 pm EET,2,No,"It said that ""You can drive in Switzerland using your foreign driving license for up to 12 months."" But you have to bo 18 in Switzerland in order to drive a car.",3,,minimum age for driving a car in switzerland,59.372087,"['0:23.016312000000003', 'Focus:24.545721000000004']",1,TRUE,1.529409,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:58:18,2022-07-05 13:01:37,198.981,22,Male
2022/07/05 3:01:41 pm EET,1,Yes,As long as you are in possession of a national driver's licence you can drive in Switzerland.,5,,legal driving age in switzerland,43.163865,"['1:11.311488000000004', 'Focus:39.865423']",1,FALSE,0,TRUE,28.553935,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:59:08,2022-07-05 13:01:50,161.581,31,Female
2022/07/05 3:01:41 pm EET,1,No,You have to be 18 years old to drive in Switzerland,4,,driving law switzerland,38.59276,"['0:7.6827799999999975', 'Focus:35.822759999999995']",1,TRUE,28.13998,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:59:10,2022-07-05 13:01:55,164.832,20,Male
2022/07/05 3:01:44 pm EET,1,No,driving in switzerland is not possible until the age of 18,5,,,,,,,,,,,,,,,,,,,,2022-07-05 12:59:13,2022-07-05 13:02:00,166.732,20,Male
2022/07/05 3:01:47 pm EET,2,Yes,,4,,,,,,,,,,,,,,,,,,,,2022-07-05 12:58:25,2022-07-05 13:01:54,208.634,21,CONSENT REVOKED
2022/07/05 3:01:50 pm EET,2,Yes,"
It said on a site that if it's in latin and if it's up to 12 months. After that period he will ahve to exhcnage it to swiss license.",4,,can you drive in switzerland with usa drivers license,58.335677,"['1:6.2984339999999985', 'Focus:6.319193', '2:36.136425', 'Focus:36.150212']",2,FALSE,0,TRUE,0.020759,TRUE,0.013787,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2022-07-05 12:58:49,2022-07-05 13:01:56,186.485,21,Male
